car_id,car_make,car_model,car_year,purchase_price,sale_price,purchase_date,sale_date,buyer_name,seller_name,profit
31,Hyundai,Tiburon,1997,86539.18,16876.61,5/29/2011,5/8/2006,Olivette Whaley,Fanechka Farrier,-69662.57
32,Hyundai,Azera,2006,94365.17,82940.56,6/22/2002,8/1/2014,Kalie Biasetti,Abigale Real,-11424.61
33,Toyota,Tacoma Xtra,1998,76249.06,46810.3,9/20/2000,9/29/2011,Howard Lafuente,Dasie Cockrill,-29438.76
34,Kia,Sedona,2009,56436.98,67531.15,3/24/2011,8/18/2018,Chance Badini,Phoebe Lawless,11094.17
35,Chevrolet,Camaro,1969,67792.18,33320.64,11/26/2005,8/13/2004,Clywd Snepp,Ellswerth Collocott,-34471.54
36,GMC,Yukon,1997,73868.32,84000.53,5/3/2010,4/23/2008,Kassi Vasilyevski,Addie Bottini,10132.21
37,Plymouth,Fury,1964,37937.76,107833.63,5/20/2015,11/26/2006,Idaline Winspar,Biddy Slora,69895.87
38,Chevrolet,Corvette,1970,89146.38,108721.21,10/6/2012,9/30/2010,Legra Tolworthie,Darbee Gores,19574.83
39,Porsche,Boxster,1999,61230.95,57533.51,2/18/2007,11/19/2014,Aleta Pescott,Abram Doyley,-3697.44
40,Dodge,Ram Van B350,1993,7576.9,48976.84,9/8/2006,1/20/2018,Theda Ronca,Zonnya O'Corhane,41399.94
41,Pontiac,Firebird Formula,1999,13132.4,36602.7,1/10/2003,9/19/2016,Alford Dormand,Lemmie Dovermann,23470.3
42,Saab,3-Sep,2005,34247.1,33189.34,4/17/2011,4/16/2019,Kassi Shergold,Kev Bringloe,-1057.76
43,Ram,3500,2012,73228.22,91596.97,12/25/2022,12/29/2015,Paulina Lefridge,Lazar Annis,18368.75
44,Plymouth,Colt Vista,1993,49318.32,20786.3,2/19/2017,5/26/2014,Jodee Noe,Jimmie Kachel,-28532.02
45,Maybach,62,2003,25611.54,119586.1,7/29/2018,2/14/2000,Charmain Januszewski,Maggi Morin,93974.56
46,Plymouth,Laser,1991,44564.87,17287.5,12/29/2014,8/12/2006,Ninnette McKinnon,Ezechiel Lanney,-27277.37
47,Ford,Lightning,1994,30963.38,21514.95,2/13/2022,7/2/2008,Kiley Cordie,Stu Hodges,-9448.43
48,Ford,Escort,1998,34183.48,72163.64,1/1/2019,7/23/2002,Murdock Curuclis,Adrian Childrens,37980.16
49,Mercury,Mystique,1998,23072.31,119247.04,6/11/2012,8/4/2010,Bram Tunnicliff,Marcus Belhome,96174.73
50,Dodge,Ram,2003,56782.02,14645.74,7/29/2003,12/17/2022,Cosimo Kernar,Ulises Riba,-42136.28
51,Mitsubishi,Eclipse,2000,12408.1,88307.89,10/22/2005,8/4/2017,Alfy Tregonna,Bond Osmon,75899.79
52,Suzuki,Verona,2005,49156.8,119257.67,8/26/2022,8/12/2016,Any Girdwood,Terra Arnason,70100.87
53,Ford,E-Series,1989,83749.59,59723.49,9/12/2003,7/20/2003,Nicoli Boar,Arlen Le Sieur,-24026.1
54,Dodge,D350 Club,1993,25097.43,79147.53,10/7/2012,3/11/2012,Sophi Ancketill,Danette Durtnal,54050.1
55,Cadillac,CTS,2007,26935.9,28080.91,6/2/2014,4/25/2021,Devan Brownsett,Constantin Sinnatt,1145.01
56,Pontiac,Bonneville,2001,33227.21,24145.78,2/9/2022,8/13/2020,Gustaf Rudgley,Herb Medley,-9081.43
57,Ford,Escape,2005,60177.12,59788.46,9/30/2018,1/27/2006,Baily Visick,Regen Sedgeworth,-388.66
58,Buick,Rainier,2005,47969.67,113231.99,9/8/2013,2/15/2008,Gilberta Redmire,Alric Pitcher,65262.32
59,Volkswagen,Touareg,2005,36877.76,87489.27,10/16/2009,6/12/2018,Constantine Willmore,Wylma McFadyen,50611.51
60,Buick,Century,1994,64860.25,27164.83,3/16/2008,5/30/2014,Elinore Pulteneye,Adorne Mabbitt,-37695.42
61,Dodge,Stratus,2002,58160.04,20938.88,6/21/2022,8/17/2021,Shari Carlo,Corry Jenik,-37221.16
62,Kia,Carens,2007,41672.21,99210.17,7/5/2007,4/11/2013,Elsey Phibb,Adara Massy,57537.96
63,Jaguar,S-Type,2004,12748.82,76989.18,1/27/2014,4/26/2011,Court Woollons,Diana Bezley,64240.36
64,Volkswagen,Jetta,1996,26501.01,65841.28,9/15/2011,12/30/2012,Tuck Goggins,Claiborne Giannotti,39340.27
65,Nissan,Xterra,2003,30714.62,36940.73,4/29/2017,2/27/2002,Rorke Drayson,Mendie Tine,6226.11
66,Porsche,944,1985,62787.61,90825.78,12/1/2017,10/18/2007,Valida Charkham,Fran Cosgry,28038.17
67,Cadillac,Fleetwood,1993,42242.15,16031.47,8/16/2010,4/21/2022,Guthrie Coronado,Sloane Maker,-26210.68
68,Mitsubishi,Tredia,1988,9810.83,116735.07,8/20/2014,1/4/2016,Ladonna Stracey,Carola Ranvoise,106924.24
69,Toyota,Tacoma,2007,6527.34,99219.66,10/30/2001,8/30/2010,Flossy Robshaw,Benji O'Crotty,92692.32
70,Hyundai,Elantra,2009,60304.57,108062.92,4/28/2010,8/5/2022,Horton Spiaggia,Maryellen Olivetta,47758.35
71,Mazda,Familia,1992,12523.84,72833.82,5/30/2010,5/21/2019,Kennith Kubin,Joela Rigeby,60309.98
72,Nissan,Murano,2006,61199.03,38498.92,10/1/2020,8/3/2009,Kiri Prickett,Claudette Deek,-22700.11
73,Pontiac,Grand Prix,1987,28756.98,53385.51,10/9/2009,2/24/2008,Linus Eglinton,Dalton Marnes,24628.53
74,Pontiac,Vibe,2006,57729.44,53893.22,6/4/2018,3/1/2003,Roby Burkhill,Grover Mizzen,-3836.22
75,Chevrolet,Camaro,1981,99103.5,48566.65,1/16/2014,8/24/2021,Othilia Rollin,Raimondo Klement,-50536.85
76,Honda,Accord,2008,73412.44,71775.1,9/1/2013,6/29/2001,Zelma Brocks,Westleigh Berrey,-1637.34
77,Chevrolet,Tahoe,2001,47829.07,76285.32,4/13/2015,6/21/2006,Matty Dannell,Mason Spadazzi,28456.25
78,Buick,Lucerne,2006,95489.81,41898.48,10/2/2008,2/21/2013,Cortney Renault,Dorthea Flooks,-53591.33
79,Suzuki,Aerio,2006,36198.65,34223.72,7/28/2005,12/2/2009,Lucine Nare,Maurita Mortell,-1974.93
80,Nissan,Frontier,2002,16573.42,98416.69,6/29/2016,4/2/2002,Wilbur Poulgreen,Elyssa Antham,81843.27
81,Lamborghini,Murciélago LP640,2008,89240.85,79620.63,9/14/2009,5/16/2001,Harri Diack,Leah Lotherington,-9620.22
82,GMC,Acadia,2010,88677.27,53131.46,9/13/2014,4/4/2004,Arel Avann,Willie Fermin,-35545.81
83,GMC,Suburban 1500,1992,55486.22,109757.29,2/25/2009,3/30/2008,Isis Shevell,Shurlocke Howman,54271.07
84,Chevrolet,Metro,2001,32994.36,43225.67,6/30/2004,4/4/2002,Sharron Smails,Paddy Rimes,10231.31
85,Chevrolet,Express 1500,2005,25248.96,14099.17,5/8/2013,10/22/2015,Codi Maccaig,Reagan Brabon,-11149.79
86,Chevrolet,Silverado 3500,2012,16774.27,6603.6,3/20/2006,10/23/2010,Ajay Podmore,Kahaleel Pharrow,-10170.67
87,Volvo,V70,1999,87403.59,94412,7/15/2002,2/20/2020,Amandy Breinlein,Annis Cowap,7008.41
88,Cadillac,DTS,2006,30999.06,111819.73,4/25/2008,8/11/2008,Victor Wilce,Lenka Ebsworth,80820.67
89,Toyota,RAV4,1996,40436.91,26112.76,4/25/2016,3/11/2009,Penny Turmall,Theresina Brockbank,-14324.15
90,GMC,Yukon,2010,61743.58,37317.53,1/28/2015,4/1/2018,Tyson Rattry,Verge Omar,-24426.05
91,GMC,Jimmy,1992,54299.78,91582.89,4/6/2014,9/14/2006,Maudie Minton,Kirstin Abrahamovitz,37283.11
92,Buick,Riviera,1986,82207.85,43851.63,5/21/2017,2/16/2009,Joane Abels,Lanny Collidge,-38356.22
93,Buick,Coachbuilder,1995,70570.15,61117.13,7/1/2010,12/30/2014,Junia Hovey,Dean Brougham,-9453.02
94,Ford,Mustang,1991,96527.82,61315.18,2/28/2008,12/14/2014,Eleanore Gliddon,Fanechka Hatherell,-35212.64
95,Dodge,Ram 2500,1995,23151.56,81237.3,5/31/2002,10/8/2018,Richardo Simone,Paco Alyukin,58085.74
96,Subaru,Outback,2001,57233.49,50675.9,2/8/2013,2/13/2007,Bondy Aymerich,Morissa Kainz,-6557.59
97,Chevrolet,SSR,2004,68367.32,104573.77,4/9/2014,12/14/2021,Esdras Gabbett,Harmony Thackwray,36206.45
98,Toyota,Supra,1993,9808.11,106173.95,2/19/2000,12/27/2003,Jemmy McGettigan,Tiphanie Palser,96365.84
99,Cadillac,DeVille,2003,8278.74,30284.34,3/18/2006,3/10/2009,Luciano Karlicek,Celina Dorman,22005.6
100,Saab,900,1990,74785.02,61550.46,4/25/2012,10/19/2001,Birdie Geke,Hagen Bisset,-13234.56
101,Cadillac,DeVille,2002,12245.09,44284.68,12/26/2013,8/5/2014,Krisha Bengtsson,Nathalia Chasteney,32039.59
102,Jeep,Liberty,2002,45100.58,84810.96,9/23/2000,1/30/2010,Shay Wellstead,Valentin Emptage,39710.38
103,GMC,Yukon,2005,97977.48,109662.49,10/23/2014,2/9/2014,Yance Twinn,Hazel Cogger,11685.01
104,Mercedes-Benz,W126,1983,87406.98,75360.95,2/26/2010,11/6/2018,Dewey Featherby,Mylo Kloser,-12046.03
105,Lamborghini,Countach,1985,97828.07,112400.17,11/26/2000,3/8/2004,Garv Lyman,Angeli McDowall,14572.1
106,Kia,Sedona,2006,47856.77,62610.24,10/3/2007,1/23/2001,Torrin Bruckshaw,Collie Keston,14753.47
107,Volkswagen,Scirocco,1984,47828,49714,2/25/2010,8/4/2016,Nikki Gerren,Bear Estoile,1886
108,Aston Martin,V8 Vantage,2008,71878.72,51723.57,5/1/2020,11/18/2015,Delilah Reading,Kaiser Cockhill,-20155.15
109,Hyundai,Elantra,2013,55868.83,50473.37,7/19/2007,2/10/2019,Patty Fanthom,Kit Cosker,-5395.46
110,Ford,Explorer,2013,69057.92,99568.92,3/20/2014,10/8/2015,Berty Batthew,Kym Farress,30511
111,Volkswagen,Jetta,1985,65902.31,45388.97,10/26/2018,5/4/2002,Niccolo Blanking,Daphne Burnhill,-20513.34
112,Land Rover,Range Rover,2002,81726.93,40121.58,4/9/2017,10/17/2020,Susana Parmer,Benjy Slide,-41605.35
113,Volvo,850,1993,19007.48,96768.82,10/9/2005,10/17/2018,Christy Barbey,Derward Cosh,77761.34
114,Buick,Lucerne,2009,18534.34,26881.48,1/14/2017,12/9/2001,Ethan Mordanti,Karoline Attree,8347.14
115,Hyundai,Santa Fe,2006,70084.69,32259.38,10/19/2004,8/20/2014,Clair Cussins,Lelah Beeckx,-37825.31
116,Chevrolet,Tahoe,2009,77021.62,61885.53,1/25/2000,4/16/2015,Kassia Gantlett,Olivie Ibbison,-15136.09
117,Plymouth,Laser,1992,24532.99,61040.97,4/21/2000,11/3/2013,Jehanna Gandey,Bank enzley,36507.98
118,Acura,RL,2002,16409.55,48391.19,4/28/2004,8/19/2014,Corine Judge,Francene Cullinane,31981.64
119,Buick,LeSabre,1994,22120.39,104760.98,8/23/2006,5/11/2017,Pincus Wadsworth,Andres Jeffcoat,82640.59
120,Mitsubishi,Lancer,2007,58953.52,12815.55,11/3/2014,4/10/2022,Merline Lyttle,Annadiana Kleanthous,-46137.97
121,Plymouth,Grand Voyager,1995,43794.29,105298.79,8/31/2020,11/3/2004,Brandi Doogood,Abner McLean,61504.5
122,Dodge,Daytona,1984,92943.11,6009.02,12/17/2004,7/23/2007,Louisette Pullinger,Josy Ableson,-86934.09
123,Lexus,LS,2010,17673.65,77359.23,10/9/2008,7/3/2007,Hilario Mulleary,Roosevelt Jesty,59685.58
124,Lotus,Esprit,1991,46862.57,114367.7,2/6/2014,10/18/2020,Rubie De Benedetti,Johnnie Shildrake,67505.13
125,Toyota,Sienna,2006,88139.06,87342.56,9/27/2018,3/11/2019,Glenden Beake,Ingrid Scherer,-796.5
126,Chrysler,Town & Country,2003,74163.38,103120.06,10/25/2007,10/14/2020,Gisela Seleway,Moishe Caines,28956.68
127,Chevrolet,APV,1993,25530.63,36228.21,4/15/2014,1/24/2018,Granny Draaisma,Guthrie Perutto,10697.58
128,Dodge,Viper,1992,89593.8,86119.39,7/7/2001,5/26/2021,Freedman Dawber,Danette Viner,-3474.41
129,Ford,Probe,1995,15352.28,7421.28,1/2/2022,12/20/2004,Corney Robertz,Ann McCraw,-7931
130,Ford,Thunderbird,1955,29988.19,13474.16,6/10/2016,3/6/2001,Elita Garrad,Jaime Groger,-16514.03
131,Dodge,Ram Van 3500,1997,32062.74,103084.39,5/17/2022,12/7/2001,Rebecca Croft,Prissie Palser,71021.65
132,Jaguar,XJ,2009,90918.43,29356.92,12/13/2012,12/7/2003,Sarene McKellar,Margret Maudson,-61561.51
133,Ford,Econoline E250,2000,89032.73,55823.92,5/7/2020,8/17/2006,Tobias Grene,Charlotte Alexis,-33208.81
134,Dodge,Ram Wagon B350,1994,84954.67,32598.48,8/12/2022,7/9/2014,Yorgo Welling,Hyatt Willimont,-52356.19
135,Ford,F-Series,1987,39458.93,87829.45,2/9/2009,4/18/2001,Dewie McKomb,Mimi Pochet,48370.52
136,Chrysler,Imperial,1926,6476.76,35028.77,6/15/2010,12/3/2000,Othilie Dubose,Walther Rikkard,28552.01
137,Ford,Econoline E350,1992,67079.79,110434.17,9/13/2020,11/10/2015,Lavinia Bertwistle,Ida Peacop,43354.38
138,Toyota,Echo,2003,70959.13,20815.62,1/17/2007,3/15/2011,Nevins Muris,Susanne De Ferraris,-50143.51
139,Dodge,Dakota,2003,24462.7,21078.07,6/18/2022,3/7/2018,Chaddy Sackes,Winifield Beathem,-3384.63
140,Dodge,Intrepid,2003,23661.52,28783.64,1/20/2001,8/29/2008,Fran Korb,Barnie Mottram,5122.12
141,Lincoln,Town Car,1986,56084.18,35143.15,12/2/2018,2/2/2008,Valenka McSporon,Bendix Witchalls,-20941.03
142,Dodge,Caravan,2007,38337.33,102059.37,3/17/2010,2/8/2008,Yancey Plevey,Atlante McCaughan,63722.04
143,Land Rover,Freelander,2009,96003.65,70721.3,10/29/2005,2/3/2019,Gilberte Clapison,Dylan Vanichkov,-25282.35
144,Toyota,MR2,1993,14558.52,93131.96,3/27/2009,8/25/2011,Yankee Fri,Rossy Ambrogini,78573.44
145,Subaru,Tribeca,2007,89081.02,116590.8,3/29/2006,3/17/2016,Zaria Ashling,Elihu Rozsa,27509.78
146,Volvo,XC90,2009,72546.95,54447.58,11/15/2022,7/29/2001,Willy Le Breton,Darcy McTerlagh,-18099.37
147,Mercedes-Benz,SL-Class,1990,87655.6,71778.67,4/30/2022,6/29/2019,Margi MacKilroe,Andy Crank,-15876.93
148,Audi,S4,2011,80125.53,61344.74,1/30/2008,7/30/2011,Parke Pottell,Gareth Silbermann,-18780.79
149,Kia,Optima,2003,59451.13,92952.65,3/25/2002,7/15/2020,Ranique Renvoise,Donia Leavens,33501.52
150,Honda,Accord,2000,73981.09,55460.3,10/26/2004,4/14/2020,Drusie Behning,Carlye Wiley,-18520.79
151,Volkswagen,Cabriolet,1998,56669.2,19286.7,9/26/2003,2/18/2015,Hayes Markussen,Reena Rigmond,-37382.5
152,Mercedes-Benz,300SL,1992,18191.7,25103.4,2/8/2016,8/5/2005,Emeline Gilli,Lia Liccardo,6911.7
153,Pontiac,Firebird,2000,17567.94,113956.09,1/2/2017,4/26/2011,Gaynor Saban,Wilmette Greatorex,96388.15
154,Mitsubishi,Eclipse,2008,68972.81,114249.17,10/4/2012,8/17/2022,Benedikt Deeves,Otto Salzburger,45276.36
155,Volvo,V50,2007,79678.64,59332.36,6/27/2000,12/7/2001,Haslett Lyst,Arv Poizer,-20346.28
156,Volkswagen,Golf,2012,55457.21,90487.68,11/9/2005,3/11/2016,Letty Chapman,Pattie De Carolis,35030.47
157,Mazda,Millenia,2000,96566.54,83246.09,4/16/2019,8/28/2004,Dotti Turville,Morris Mieville,-13320.45
158,Mazda,B-Series,1994,96643.67,36726.63,7/11/2001,2/27/2022,Randy Welldrake,Brock Niesel,-59917.04
159,Volkswagen,Passat,1988,59794.34,86686.35,7/10/2014,2/3/2017,Arnold Edwicke,Ally Coop,26892.01
160,MINI,Cooper,2010,44743.9,45608.96,7/11/2016,9/15/2003,Carolina Horribine,Luce Mallinder,865.06
161,GMC,Canyon,2006,10764.47,101858.32,8/24/2013,4/1/2020,Hedwiga Morbey,Bertrand Poynter,91093.85
162,Pontiac,Bonneville,1985,88915.51,11189.85,3/20/2005,7/27/2002,Anastasia Whatman,Charo Blackmoor,-77725.66
163,Honda,Prelude,1994,12396.34,49391.5,5/20/2000,2/18/2014,Teddie Strevens,Harriott Whinney,36995.16
164,Lincoln,Continental Mark VII,1986,81669.38,107090.21,3/27/2021,10/29/2000,Emlen Ridgway,Yardley Fleury,25420.83
165,Mercedes-Benz,SL-Class,2012,87279.93,19558.31,6/12/2008,10/20/2007,Upton Willingam,Fayette Onslow,-67721.62
166,GMC,Jimmy,1998,52744.29,20845.12,1/31/2013,2/7/2021,Sharleen Labon,Emili Jirasek,-31899.17
167,Saab,3-Sep,2005,45608.77,87218.83,10/14/2021,12/6/2021,Jaine MacConchie,Margaretta Novis,41610.06
168,Chrysler,Sebring,2005,68612.09,116027.7,9/19/2013,12/6/2004,Cordey Nizard,Zorana Davidde,47415.61
169,Subaru,Legacy,2004,40070.17,99818.47,10/17/2001,7/9/2004,Jackie Cadwell,Gordan Berni,59748.3
170,Ford,Th!nk,2000,10898.49,87289.1,1/1/2002,9/19/2011,Courtnay Keelan,Elsie Doppler,76390.61
171,Jeep,Patriot,2009,18882.11,119680.98,12/24/2016,12/15/2004,Hugh Dunning,Marrissa Crosswaite,100798.87
172,Chevrolet,Prizm,2001,94316.48,86500.06,6/23/2012,6/24/2016,Finn Birdfield,Dallas Kennea,-7816.42
173,Dodge,Ram Van 2500,2003,47032.25,7369.42,3/12/2000,9/4/2020,Danice Lobbe,Kaiser Romeuf,-39662.83
174,Toyota,Avalon,2004,93377,36393.55,4/17/2008,5/11/2021,Anallise Lavielle,Kile Warkup,-56983.45
175,Pontiac,Solstice,2008,71963.51,73039.64,10/4/2002,11/12/2007,Loren Templar,Janelle Ungerecht,1076.13
176,Mercury,Topaz,1987,29605,117656.48,3/9/2017,8/4/2018,Veronike Othick,Piggy Gorke,88051.48
177,Mercury,Topaz,1992,12810.19,83125.52,1/1/2004,5/2/2007,Dom MacRury,Glynnis Frean,70315.33
178,Audi,TT,2010,65807.29,41683.24,8/15/2000,2/27/2014,Sollie Imorts,Lonnie Millimoe,-24124.05
179,GMC,Suburban 2500,1998,13790.78,101039.62,4/2/2010,7/1/2014,Rodi Edgson,Pandora Harman,87248.84
180,Chevrolet,Corsica,1994,96676.02,30580.52,5/2/2016,8/12/2019,Coreen O' Cuolahan,Brinna Birkbeck,-66095.5
181,Cadillac,CTS,2009,89471.66,97559.89,11/15/2009,6/23/2005,Almeta Kitcatt,Skell Everix,8088.23
182,Jaguar,XK,2007,76683.51,76515.74,12/27/2007,10/26/2011,Rudolfo Scrimshire,Addie Berth,-167.77
183,Volkswagen,Golf,1996,7743.45,52039.59,11/18/2013,2/26/2006,Shanda Hardey,Harbert Wyldbore,44296.14
184,Nissan,Sentra,2011,58529.45,40531.1,4/1/2007,1/29/2002,Shara Kenwrick,Lek Kinney,-17998.35
185,Nissan,Xterra,2007,58721.24,52272.91,5/23/2018,7/7/2017,Tanny Haughin,Gav Berntsson,-6448.33
186,Subaru,Legacy,2002,14127.25,24865.86,7/4/2016,9/10/2004,Nicki Jacobowits,Darice Thraves,10738.61
187,Chevrolet,Corvette,1986,22466.46,46423.29,11/6/2009,12/12/2012,Laurene Skeene,Norene Annatt,23956.83
188,Cadillac,CTS,2012,92411.85,101138.08,11/26/2004,7/13/2014,Norina Garfoot,Bart Lamball,8726.23
189,Volvo,V50,2007,13767.5,79192.69,3/28/2009,9/9/2008,Ximenes Demsey,Irving Leale,65425.19
190,Toyota,Avalon,2004,25752.27,7522.02,9/18/2000,3/26/2021,Debbi Allridge,Kennan Teffrey,-18230.25
191,Cadillac,SRX,2005,56433.42,108156.71,9/15/2020,5/20/2009,Dehlia Tydeman,Thorin Hanhardt,51723.29
192,Chevrolet,Malibu,1998,72784.13,84861,10/20/2000,11/10/2018,Pam Chaperlin,Cornelius Stobie,12076.87
193,Chevrolet,Corsica,1996,83802.67,108941.09,8/12/2009,2/5/2004,Kylie Thorald,Cammie Pashenkov,25138.42
194,Volkswagen,Type 2,1987,5348.46,31469.3,4/2/2013,5/15/2016,Karla Hansel,Gabrielle Noddles,26120.84
195,Ford,Crown Victoria,2006,53312.28,53632.02,5/27/2011,9/14/2015,Cristy Whysall,Brittan Findley,319.74
196,Volkswagen,Golf,2012,75976.98,98755.35,5/10/2003,9/18/2015,Linda Neville,Burt Keeting,22778.37
197,Dodge,Spirit,1994,20013.28,30580.1,6/21/2010,2/3/2014,Dennet Wilds,Jesse Marc,10566.82
198,Dodge,Dakota Club,2003,41758.88,63326.48,7/11/2010,12/30/2019,Ive Baverstock,Hyacinthie Thomesson,21567.6
199,Volvo,V70,2009,51637.23,61702.12,11/1/2004,7/30/2010,Pancho Rollitt,Prent Nutten,10064.89
200,Toyota,Tacoma,2011,95614.4,19488.86,10/24/2001,2/19/2021,Ky Cottle,Konstance Haney,-76125.54
201,Dodge,Ram Van 3500,2003,54606.78,39200.65,11/29/2020,3/7/2012,Leah Bellin,Thaddeus Pyecroft,-15406.13
202,Chevrolet,Corvette,2007,94343.13,36957.1,12/26/2019,8/5/2004,Bruis Rettie,Avery Guidera,-57386.03
203,Nissan,Rogue,2011,29702.6,115022.07,9/16/2019,10/17/2013,Jerald Jovis,Kenton Kemmey,85319.47
204,Suzuki,Daewoo Lacetti,2008,84456.21,115489.06,6/25/2015,11/28/2012,Elena Vedeniktov,Lynne Mungan,31032.85
205,Nissan,Sentra,2004,92257.65,41664.04,5/15/2015,2/5/2012,Micheal Hullot,Lorena Dewey,-50593.61
206,Mazda,B-Series Plus,2002,39384.65,78059.85,7/18/2011,9/28/2007,Nicholas Joye,Connie Akaster,38675.2
207,Mercury,Villager,1998,61454.76,44081.87,12/2/2017,9/21/2017,Orbadiah Zorro,Doria Pleasance,-17372.89
208,Dodge,Daytona,1993,40634.94,36689.41,3/11/2000,5/23/2006,Eduino Huggill,Greer Freezor,-3945.53
209,Mercury,Cougar,1994,46771.75,50122.1,12/30/2012,11/20/2001,Pammy Curteis,Welby Ashbrook,3350.35
210,Pontiac,Montana,1999,25202.85,22846.95,3/30/2021,9/8/2019,Jsandye Huelin,Johanna Godfray,-2355.9
211,Aston Martin,V8 Vantage,2010,36241.5,38397.11,6/26/2009,11/12/2005,Catarina Mowles,Caroljean Goghin,2155.61
212,Honda,Civic,1997,37751.57,7814.91,10/16/2020,4/14/2020,Garner Clayfield,Brocky Threlfall,-29936.66
213,Mazda,B-Series,2005,27639.99,97510.54,3/31/2015,1/7/2022,Holly Sutherland,Jacquette Tenniswood,69870.55
214,Lotus,Esprit,2002,88069.57,118171.57,9/14/2006,6/12/2009,Maurie Kibby,Hedi Altree,30102
215,Lexus,GS,2009,26890.22,14444.26,3/21/2007,3/20/2018,Glennie Rosenkranc,Caren Barbe,-12445.96
216,Ford,Fusion,2006,6967.14,27289.59,4/16/2016,8/10/2014,Luigi Laing,Lonnie Endersby,20322.45
217,Acura,TL,2010,19473.89,79802.32,12/15/2006,2/11/2007,Olympe Yeandel,Dredi Brockwell,60328.43
218,Aston Martin,DBS,2010,77857.86,28918.8,9/30/2015,4/25/2004,Courtnay Assaf,Cele Slot,-48939.06
219,Saturn,Ion,2003,93281.68,45752.57,6/19/2009,7/21/2013,Teddie Nevet,Johnette Trenouth,-47529.11
